Name,Sequence,Period,Year,Month,Type,Price
Sunset Hill,217,2014-04,2014,4,SFH,584300
Sunset Hill,218,2014-05,2014,5,SFH,584600
Sunset Hill,219,2014-06,2014,6,SFH,588800
Sunset Hill,220,2014-07,2014,7,SFH,596700
Sunset Hill,221,2014-08,2014,8,SFH,604300
Sunset Hill,222,2014-09,2014,9,SFH,608900
Sunset Hill,223,2014-10,2014,10,SFH,614100
Sunset Hill,224,2014-11,2014,11,SFH,617400
Sunset Hill,225,2014-12,2014,12,SFH,617600
Sunset Hill,226,2015-01,2015,1,SFH,618800
Sunset Hill,227,2015-02,2015,2,SFH,622900
Sunset Hill,228,2015-03,2015,3,SFH,631000
Sunset Hill,229,2015-04,2015,4,SFH,641200
Sunset Hill,230,2015-05,2015,5,SFH,655000
Sunset Hill,231,2015-06,2015,6,SFH,670700
Sunset Hill,232,2015-07,2015,7,SFH,682000
Sunset Hill,233,2015-08,2015,8,SFH,684700
Sunset Hill,234,2015-09,2015,9,SFH,688700
Sunset Hill,235,2015-10,2015,10,SFH,698700
